"row.names","pbdb_no","gdd_id","title_sim","author_in","year_match","pubtitle_sim","Match"
"745",1681,"54b43244e138239d868493ad",0.4742268,FALSE,FALSE,0.102040816,0
"522",1324,"54b43249e138239d8684a020",0.4545455,FALSE,FALSE,0.224489796,0
"728",1656,"54b4324ce138239d8684a9cc",0.4195804,FALSE,FALSE,0.231884058,0
"650",1550,"54b4324de138239d8684aac7",0.4,FALSE,FALSE,0.163265306,0
"687",1607,"54b4324de138239d8684abaf",0.4705882,FALSE,FALSE,0.244897959,0
"739",1674,"54b4324ee138239d8684ae35",0.3492823,FALSE,FALSE,0.231884058,0
"570",1409,"54b43250e138239d8684b465",0.5368421,FALSE,FALSE,0.147058824,0
"572",1416,"54b43250e138239d8684b479",0.5151515,FALSE,FALSE,0.170212766,0
"961",2068,"54b43251e138239d8684b6b7",0.46875,FALSE,FALSE,0.157142857,0
"632",1527,"54b43252e138239d8684b85d",0.4526316,FALSE,FALSE,0.174603175,0
"592",1446,"54b43257e138239d8684c7f4",0.3504274,FALSE,FALSE,0.218181818,0
"898",1951,"54b4325be138239d8684d3c6",0.5047619,FALSE,FALSE,0.087719298,0
"852",1876,"54b4325be138239d8684d3f9",0.5507246,FALSE,FALSE,0.083333333,0
"643",1542,"54b4325ce138239d8684d4a0",0.4671053,FALSE,FALSE,0.088235294,0
"779",1743,"54b4325ce138239d8684d4a0",0.4802632,FALSE,FALSE,0.1,0
"896",1949,"54b4325ce138239d8684d4d7",0.5,FALSE,FALSE,0.087719298,0
"897",1950,"54b4325ce138239d8684d67c",0.4215686,FALSE,FALSE,0.088235294,0
"684",1603,"54b4325de138239d8684d975",0.5223881,FALSE,FALSE,0.104166667,0
"721",1648,"54b4325ee138239d8684da97",0.4736842,FALSE,FALSE,0.057971014,0
"683",1602,"54b4325ee138239d8684dad6",0.5322581,FALSE,FALSE,0.088888889,0
"736",1668,"54b4325ee138239d8684db11",0.4814815,FALSE,FALSE,0.057971014,0
"755",1703,"54b4325ee138239d8684db37",0.6567164,FALSE,FALSE,0.068181818,0
"711",1637,"54b4325ee138239d8684dba5",0.5,FALSE,FALSE,0.057971014,0
"829",1832,"54b43261e138239d8684e37b",0.4533333,FALSE,FALSE,0.136363636,0
"974",2088,"54b43261e138239d8684e37b",0.48,FALSE,FALSE,0.171428571,0
"569",1407,"54b43261e138239d8684e3d5",0.556701,FALSE,FALSE,0.294117647,0
"584",1437,"54b43262e138239d8684e657",0.4954128,FALSE,FALSE,0.156862745,0
"710",1636,"54b43262e138239d8684e657",0.462963,FALSE,FALSE,0.217391304,0
"936",2018,"54b43266e138239d8684f14d",0.4888889,FALSE,FALSE,0.163934426,0
"689",1609,"54b43268e138239d8684f62a",0.4938272,FALSE,FALSE,0.189189189,0
"565",1403,"54b43268e138239d8684f720",0.475,FALSE,FALSE,0.222222222,0
"551",1381,"54b43269e138239d8684f837",0.4626866,FALSE,FALSE,0.16,0
"995",2121,"54b43269e138239d8684f870",0.5245902,FALSE,FALSE,0.130434783,0
"642",1540,"54b4326be138239d8684ffd6",0.4958678,FALSE,FALSE,0.288135593,0
"714",1640,"54b4326ce138239d8685017c",0.5045045,FALSE,FALSE,0.378378378,0
"716",1642,"54b4326ce138239d8685017c",0.5607477,FALSE,FALSE,0.27027027,0
"717",1643,"54b4326ce138239d8685017c",0.4397163,FALSE,FALSE,0.27027027,0
"797",1769,"54b4326ce138239d868502f0",0.5121951,FALSE,FALSE,0.27027027,0
"537",1353,"54b4326de138239d86850363",0.5368421,FALSE,FALSE,0.054054054,0
"828",1831,"54b4326de138239d86850475",0.4519231,FALSE,FALSE,0.217391304,0
"958",2065,"54b4326de138239d86850475",0.4903846,FALSE,FALSE,0.185714286,0
"817",1801,"54b4326ee138239d86850628",0.5737705,FALSE,FALSE,0.341463415,0
"536",1352,"54b43276e138239d86851c74",0.3619048,FALSE,FALSE,0.193548387,0
"781",1745,"54b43278e138239d8685233d",0.4645669,FALSE,FALSE,0.231884058,0
"571",1415,"54b4327ee138239d86853365",0.4504505,FALSE,FALSE,0.1875,0
"579",1428,"54b4327ee138239d868534aa",0.5277778,FALSE,FALSE,0.441176471,0
"732",1662,"54b4327ee138239d868534aa",0.4691358,FALSE,FALSE,0.188405797,0
"733",1664,"54b4327ee138239d868534aa",0.5,FALSE,FALSE,0.188405797,0
